Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
281,Balsora,58.78107931,10.25423666,30.96468403,39.09639784,6.303602164,2.584918418,S1,2,65,Balsora_1
282,Balsora,33.15870991,15.36078717,51.48050292,10.96372858,16.53627142,14.30382564,S60,2,65,Balsora_1
283,Balsora,25.72893381,15.48741374,58.78365244,10.79994925,18.30005075,16.58968965,S76,2,65,Balsora_1
284,Balsora,36.86214775,8.079461792,55.05839045,12.69849306,15.70150694,13.37534525,S96,2,66,Balsora_1
285,Balsora,50.70491723,4.052660019,45.24242275,12.71510629,14.98489371,12.65101168,S200,2,66,Balsora_1
286,Balsora,31.30487862,7.854001346,60.84112003,14.42159098,15.57840902,13.41182109,S185,2,66,Balsora_1
287,Balsora,45.57795441,7.771499713,46.65054587,10.474747,16.625253,14.46136086,S168,2,66,Balsora_1
288,Balsora,43.61030312,5.691212492,50.69848438,14.74382442,17.45617558,15.82754665,S64,2,67,Balsora_1
289,Balsora,43.99752211,7.96129363,48.04118426,12.27345767,17.92654233,15.93933519,S41,2,67,Balsora_1
290,Balsora,34.95094546,19.83776377,45.21129076,31.10941281,3.890587186,1.979094037,S132,2,67,Balsora_1
291,Balsora,41.19247431,3.095243078,55.71228261,12.75725783,16.74274217,14.61895671,S68,2,67,Balsora_1
292,Balsora,41.63782362,6.906179335,51.45599705,13.70367323,16.99632677,15.02148815,S30,2,67,Balsora_1
293,Balsora,39.82053909,9.273324619,50.90613629,13.28980289,11.91019711,8.744980455,S105,2,68,Balsora_1
294,Balsora,57.50399355,6.302827277,36.19317917,18.01660022,15.28339978,13.13211058,S166,2,68,Balsora_1
295,Balsora,,,,13.29372488,16.60627512,14.57991574,S217,2,68,Balsora_1
296,Balsora,32.80696169,4.960203757,62.23283455,10.35045202,17.74954798,15.83464874,S88,2,68,Balsora_1
297,Balsora,39.74792882,9.366499865,50.88557131,13.32400441,16.77599559,14.95930169,S94,2,69,Balsora_1
298,Balsora,47.85401679,8.200755086,43.94522812,13.74618356,16.85381644,15.21720306,S199,2,69,Balsora_1
299,Balsora,31.09521428,22.4348242,46.46996151,12.97716361,16.82283639,15.05210813,S134,2,69,Balsora_1
300,Balsora,42.26987719,4.598745965,53.13137684,15.80561064,17.39438936,15.79239539,S120,2,69,Balsora_1
301,Balsora,34.69645868,10.97452738,54.32901393,13.21426983,18.58573017,17.23898786,S177,2,70,Balsora_1
302,Balsora,43.6658124,7.963095848,48.37109175,14.30666877,17.09333123,15.41066788,S146,2,70,Balsora_1
303,Balsora,37.68397477,5.197001554,57.11902368,11.72559247,18.07440753,16.50982842,S201,2,70,Balsora_1
304,Balsora,33.39296633,12.21495052,54.39208315,11.92206573,17.27793427,15.34974462,S10,2,70,Balsora_1
305,Balsora,36.85431471,13.47639096,49.66929433,11.94784524,16.65215476,14.72266336,S9,2,70,Balsora_1
306,Balsora,25.7231932,27.15695452,47.11985228,17.61152777,15.28847223,13.36476447,S196,2,71,Balsora_1
307,Balsora,38.25701625,15.95273264,45.79025111,13.87891482,12.72108518,9.97941793,S125,2,71,Balsora_1
308,Balsora,44.60897907,11.80127734,43.58974359,14.66084197,15.33915803,13.36227662,S114,2,71,Balsora_1
309,Balsora,44.22540489,2.691619135,53.08297598,15.99473755,17.60526245,16.03417401,S204,2,71,Balsora_1
310,Balsora,39.7834912,19.07983762,41.13667118,15.98051773,14.61948227,12.36000798,S129,2,72,Balsora_1
311,Balsora,36.51877133,17.40614334,46.07508532,12.17910274,18.42089726,16.70329755,S74,2,72,Balsora_1
312,Balsora,39.27110401,5.125733781,55.60316221,16.99239206,10.40760794,7.19521365,S140,2,72,Balsora_1
313,Balsora,52.81369447,6.335156093,40.85114944,14.86231604,12.43768396,9.459160281,S123,2,72,Balsora_1
314,Balsora,32.78971526,16.43649214,50.7737926,12.63557544,18.06442456,16.46267228,S64,2,73,Balsora_1
315,Balsora,34.33977847,7.884764866,57.77545667,11.0159191,18.2840809,16.82111298,S169,2,73,Balsora_1
316,Balsora,49.4799548,5.441798992,45.07824621,13.02935102,16.37064898,14.33901252,S130,2,73,Balsora_1
317,Balsora,57.33767754,6.582643983,36.07967848,14.25906782,15.94093218,13.96745054,S29,2,73,Balsora_1
318,Balsora,28.08355871,8.46218409,63.4542572,12.87429252,18.02570748,16.36112821,S39,2,73,Balsora_1
319,Balsora,45.83890459,7.242353977,46.91874143,15.83382283,16.56617717,14.49788678,S25,2,74,Balsora_1
320,Balsora,35.46198086,16.80762572,47.73039343,14.96008158,16.13991842,13.96922886,S59,2,74,Balsora_1
321,Balsora,41.60613398,11.53259797,46.86126805,11.25247616,15.04752384,12.68723528,S113,2,74,Balsora_1
322,Balsora,39.7909727,12.98225207,47.22677523,15.04263503,17.35736497,15.53035308,S157,2,74,Balsora_1
323,Balsora,53.98639077,3.005178941,43.00843029,12.90768206,16.79231794,15.02339709,S218,2,75,Balsora_1
324,Balsora,50.1083343,7.436198541,42.45546716,16.09714779,13.90285221,11.18218977,S104,2,75,Balsora_1
325,Balsora,48.19610471,5.395473509,46.40842178,12.17960658,17.52039342,15.78302717,S57,2,75,Balsora_1
326,Balsora,52.17332583,6.007878447,41.81879572,12.62732102,17.47267898,15.82329667,S149,2,75,Balsora_1
327,Balsora,56.3552521,3.683982574,39.96076533,11.36662793,17.73337207,15.85465418,S177,2,76,Balsora_1
328,Balsora,30.2324281,13.69219586,56.07537604,16.20104639,16.69895361,14.80347456,S36,2,76,Balsora_1
329,Balsora,54.88856294,4.970843917,40.14059314,15.53251596,18.36748404,16.87700275,S99,2,76,Balsora_1
330,Balsora,62.23157404,4.655713381,33.11271258,17.88164202,9.118357978,5.631025281,S110,2,76,Balsora_1
331,Balsora,44.22778382,15.51976786,40.25244831,18.69633751,10.40366249,7.158964572,S160,2,76,Balsora_1
332,Balsora,31.14296784,13.01046106,55.8465711,11.56190481,16.93809519,15.10193741,S154,2,77,Balsora_1
333,Balsora,43.9558161,2.812388079,53.23179582,13.88707533,16.51292467,14.69244683,S26,2,77,Balsora_1
334,Balsora,39.81114754,4.902295082,55.28655738,12.39484036,17.50515964,15.78580164,S13,2,77,Balsora_1
335,Balsora,31.13813615,2.561797753,66.30006609,12.08474202,16.41525798,14.64001157,S23,2,77,Balsora_1
336,Balsora,45.57438215,11.05651862,43.36909923,12.15646362,15.44353638,13.26246157,S102,2,78,Balsora_1
337,Balsora,38.89422193,10.23467658,50.87110149,13.07654507,17.62345493,15.97977092,S205,2,78,Balsora_1
338,Balsora,46.68457619,5.52848541,47.7869384,16.01391247,14.18608753,11.93812275,S210,2,78,Balsora_1
339,Balsora,33.47412883,10.794764,55.73110717,13.46282959,17.33717041,15.84661589,S64,2,78,Balsora_1
340,Balsora,40.54745044,3.00103484,56.45151472,12.52263381,17.47736619,15.88863682,S29,2,79,Balsora_1
341,Balsora,21.55200691,8.626672421,69.82132067,12.29040108,17.00959892,15.33459155,S206,2,79,Balsora_1
