Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
56,Balsora,29.45475897,8.423125967,62.12211506,11.8357715,15.8642285,13.68823907,S83,1,13,Balsora_1
57,Balsora,43.24351608,8.699134893,48.05734902,13.96762978,17.33237022,15.6318725,S67,1,13,Balsora_1
58,Balsora,30.10020555,8.016443988,61.88335046,13.98991824,15.51008176,13.19377251,S211,1,14,Balsora_1
59,Balsora,35.42636197,6.756037137,57.81760089,10.95017201,17.54982799,15.72558754,S197,1,14,Balsora_1
60,Balsora,42.15770302,9.631454896,48.21084208,13.67710619,12.32289381,9.377755498,S160,1,14,Balsora_1
61,Balsora,47.78100061,10.94478597,41.27421342,11.58411108,16.31588892,14.35424778,S128,1,14,Balsora_1
62,Balsora,33.32594047,8.81968589,57.85437364,11.83765739,16.76234261,14.87573346,S68,1,15,Balsora_1
63,Balsora,31.05304528,15.72303075,53.22392397,7.991197517,18.20880248,16.5438193,S20,1,15,Balsora_1
64,Balsora,32.12946763,7.18927411,60.68125826,12.89893621,15.90106379,13.76246674,S119,1,15,Balsora_1
65,Balsora,26.92244481,21.93349281,51.14406238,14.59435747,15.70564253,13.72342044,S9,1,15,Balsora_1
66,Balsora,35.38098295,11.14056707,53.47844997,11.94612429,18.85387571,17.58127163,S29,1,16,Balsora_1
67,Balsora,28.83557422,16.98586984,54.17855594,10.36999157,17.23000843,15.32913798,S183,1,16,Balsora_1
68,Balsora,41.20063792,7.294415352,51.50494673,11.99042872,17.90957128,16.44155393,S75,1,16,Balsora_1
69,Balsora,21.06355639,14.62637145,64.31007216,9.776306608,20.52369339,19.17479825,S56,1,16,Balsora_1
70,Balsora,31.91400863,7.364434423,60.72155695,13.14256909,17.95743091,16.20004697,S53,1,16,Balsora_1
71,Balsora,49.0043747,6.504551706,44.49107359,12.39125684,18.50874316,17.11963094,S92,1,17,Balsora_1
72,Balsora,34.77060365,8.931751336,56.29764501,12.86633478,16.43366522,14.37036626,S82,1,17,Balsora_1
73,Balsora,47.26909789,8.440690979,44.29021113,15.19972988,7.400270123,3.608332415,S110,1,17,Balsora_1
74,Balsora,38.12061134,11.93871588,49.94067279,12.43885844,18.46114156,17.08512172,S59,1,17,Balsora_1
75,Balsora,49.07866865,7.51531434,43.40601701,11.42006285,10.77993715,7.551056515,S221,1,18,Balsora_1
76,Balsora,49.65115905,3.985146127,46.36369482,15.56330651,8.736693491,5.280125071,S117,1,18,Balsora_1
77,Balsora,27.16609612,15.65958124,57.17432264,8.965970859,16.33402914,14.56845678,S43,1,18,Balsora_1
78,Balsora,41.47486689,5.615645831,52.90948728,10.68616562,17.81383438,16.10272761,S14,1,18,Balsora_1
79,Balsora,45.98843879,10.78296858,43.22859264,12.74781205,16.35218795,14.65862536,S29,1,19,Balsora_1
80,Balsora,33.58417824,6.657893274,59.75792849,13.57444485,15.82555515,13.86469756,S158,1,19,Balsora_1
81,Balsora,37.63038246,11.86719138,50.50242616,13.60368219,17.69631781,16.17365294,S171,1,19,Balsora_1
82,Balsora,44.08322727,5.561448169,50.35532457,16.35882131,14.44117869,12.3062023,S90,1,19,Balsora_1
83,Balsora,33.29023574,12.03662705,54.67313721,15.65813619,16.84186381,15.00189732,S175,1,19,Balsora_1
84,Balsora,30.82674209,16.5141509,52.659107,12.95638642,17.34361358,15.56585398,S120,1,20,Balsora_1
85,Balsora,38.40653492,10.01295876,51.58050632,11.26107975,16.83892025,14.88176088,S57,1,20,Balsora_1
86,Balsora,32.05608802,15.49310044,52.45081153,13.34738117,18.55261883,17.01209345,S185,1,20,Balsora_1
87,Balsora,41.17090165,10.1298898,48.69920854,15.34441016,14.45558984,12.06945379,S109,1,20,Balsora_1
88,Balsora,27.65078632,10.93922368,61.40998999,10.38746801,16.71253199,14.65785224,S192,1,21,Balsora_1
89,Balsora,34.61621283,1.524969168,63.858818,15.74860783,15.95139217,13.95227763,S194,1,21,Balsora_1
90,Balsora,26.91602144,8.538415724,64.54556284,9.239625635,18.06037436,16.4511639,S95,1,21,Balsora_1
91,Balsora,36.27645461,7.05707099,56.6664744,12.16953099,17.63046901,16.15255629,S69,1,21,Balsora_1
92,Balsora,36.04924851,15.31430192,48.63644957,10.87703133,17.92296867,16.1857481,S64,1,22,Balsora_1
93,Balsora,28.76076909,14.7182112,56.52101971,9.643571815,17.25642818,15.5706922,S154,1,22,Balsora_1
94,Balsora,52.80799796,10.87840133,36.31360071,32.02470608,6.375293925,2.686227426,S3,1,22,Balsora_1
95,Balsora,34.32074236,12.23273351,53.44652412,12.18322174,17.71677826,16.11080811,S177,1,22,Balsora_1
96,Balsora,34.38437853,18.22114822,47.39447324,11.88056327,16.91943673,14.44384401,S150,1,22,Balsora_1
97,Balsora,29.08888135,11.18169035,59.72942831,12.52897918,16.17102082,14.23762158,S32,1,23,Balsora_1
98,Balsora,36.09645479,10.47621186,53.42733335,11.55855084,17.84144916,16.35190264,S65,1,23,Balsora_1
99,Balsora,52.0027644,13.37598678,34.62124882,35.81951987,5.880480128,2.030433339,S132,1,23,Balsora_1
100,Balsora,33.14285714,5.437407953,61.4197349,12.97767149,17.12232851,15.37426465,S207,1,23,Balsora_1
101,Balsora,29.55931084,12.33973689,58.10095228,15.75112063,17.74887937,16.17496933,S121,1,24,Balsora_1
102,Balsora,42.0254671,5.08627871,52.88825419,11.85143458,15.44856542,13.25837147,S164,1,24,Balsora_1
103,Balsora,31.2820941,14.35937043,54.35853547,12.53801363,17.56198637,15.80656383,S205,1,24,Balsora_1
104,Balsora,40.93481747,8.357702104,50.70748043,11.86452858,17.83547142,16.42023111,S200,1,24,Balsora_1
105,Balsora,33.22318576,8.368781378,58.40803286,10.91535726,17.28464274,15.64657232,S29,1,25,Balsora_1
106,Balsora,43.98784778,11.16676097,44.84539126,10.69756904,18.00243096,16.32008869,S177,1,25,Balsora_1
107,Balsora,36.59720343,12.98511502,50.41768155,13.22879672,9.271203278,5.857907176,S105,1,25,Balsora_1
108,Balsora,37.53894081,20.40498442,42.05607477,15.13913248,18.36086752,16.97060764,S137,1,25,Balsora_1
109,Balsora,40.74350749,7.799797864,51.45669464,9.575151352,19.12484865,17.79313277,S149,1,25,Balsora_1
110,Balsora,46.25446353,12.78049379,40.96504268,15.36802213,9.431977869,5.930850543,S138,1,26,Balsora_1
111,Balsora,25.48964218,16.35828625,58.15207156,12.28126631,17.01873369,15.03495086,S58,1,26,Balsora_1
112,Balsora,23.03777186,15.23598577,61.72624237,12.07893964,14.92106036,12.64039469,S179,1,26,Balsora_1
113,Balsora,43.17491734,3.589662851,53.23541981,9.70231396,15.09768604,12.85828344,S77,1,26,Balsora_1
114,Balsora,34.36865768,9.425818882,56.20552344,9.42711885,18.07288115,16.37647966,S209,1,27,Balsora_1
115,Balsora,49.49798371,5.645625874,44.85639042,12.07986795,16.82013205,14.98994305,S127,1,27,Balsora_1
116,Balsora,39.87909558,4.519932018,55.6009724,7.945361234,18.05463877,16.45269213,S217,1,27,Balsora_1
117,Balsora,48.9270714,4.29362352,46.77930508,11.72378959,17.07621041,15.2852179,S143,1,27,Balsora_1
118,Balsora,42.11991593,8.283860024,49.59622405,15.04673055,15.65326945,13.86449765,S153,1,28,Balsora_1
119,Balsora,24.67148638,3.73452159,71.59399203,11.10548108,17.99451892,16.60364574,S64,1,28,Balsora_1
120,Balsora,30.08902821,7.984952978,61.92601881,10.5154687,17.2845313,15.5726984,S11,1,28,Balsora_1
121,Balsora,32.73757905,6.057657734,61.20476321,12.22954626,17.67045374,16.00932929,S102,1,28,Balsora_1
122,Balsora,41.09637222,7.396241584,51.50738619,9.10466923,17.89533077,16.20867473,S218,1,28,Balsora_1
123,Balsora,44.00067899,2.892962801,53.10635821,8.356776674,17.04322333,15.36260759,S17,1,29,Balsora_1
124,Balsora,35.00685695,2.884203308,62.10893974,10.04412872,18.15587128,16.53059658,S219,1,29,Balsora_1
125,Balsora,35.07613724,6.129529684,58.79433308,10.11525003,18.58474997,17.13148836,S66,1,29,Balsora_1
126,Balsora,32.89655575,9.727224937,57.37621931,10.83704695,19.16295305,17.75303556,S38,1,29,Balsora_1
127,Balsora,39.84022377,5.547667988,54.61210824,12.2137196,16.4862804,14.70619954,S126,1,30,Balsora_1
128,Balsora,27.28655422,9.184808517,63.52863726,11.53163069,18.76836931,17.50844269,S64,1,30,Balsora_1
129,Balsora,30.6394462,13.22773671,56.13281708,9.417226326,17.58277367,16.11103488,S152,1,30,Balsora_1
130,Balsora,36.12121212,5.104818679,58.7739692,10.33177226,17.06822774,15.22599751,S135,1,30,Balsora_1
131,Balsora,46.3345367,8.293622142,45.37184116,14.76173738,11.63826262,8.768148509,S161,1,31,Balsora_1
