Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Balsora,1,Balsora_1,Balsora_1_4.3,184,7,1,43,B 4362,S190,42251,42667,42380,4.3,Balsora_1_4,,,12.4,100.5,,,,,,,,,2561,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,263,7,2,61,B 4362,S190,42251,42667,42380,4.3,Balsora_1_4,,,8.4,113.9,,,,,,,,,2640,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,573,7,3,132,B 4362,S190,42251,42667,42380,4.3,Balsora_1_4,,,13.6,95.5,,,,,,,,,2950,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,173,58,1,15,B 4362,S190,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.38888889,,,,,144.1,4.27,,,,174,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,173,58,1,15,B 4362,S190,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,11.22222222,237.9,3.04,20,11.3,149.8,5.32,,,,1230,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,75,8,1,18,Badila,S221,42251,42667,42380,4.3,Balsora_1_4,,,,,,,,,,,,,2452,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,350,8,2,81,Badila,S221,42251,42667,42380,4.3,Balsora_1_4,,,,,,,,,,,,,2727,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,607,8,3,140,Badila,S221,42251,42667,42380,4.3,Balsora_1_4,,,,,,,,,,,,,2984,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,178,134,1,15,Badila,S221,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.77777778,,,,,126.8,5.29,,,,179,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,178,134,1,15,Badila,S221,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,8.277777778,202.6,3.48,14.4,6.9,128.5,5.93,,,,1235,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,204,9,1,47,Baroukha,S184,42251,42667,42380,4.3,Balsora_1_4,,,10.9,82.5,,,,,,,,,2581,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,375,9,2,87,Baroukha,S184,42251,42667,42380,4.3,Balsora_1_4,,,12.5,113,,,,,,,,,2752,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,637,9,3,147,Baroukha,S184,42251,42667,42380,4.3,Balsora_1_4,,,14.2,101.5,,,,,,,,,3014,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,9,198,1,1,Baroukha,S184,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,18.83333333,,,,,175,2.6,,,,9,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,9,198,1,1,Baroukha,S184,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,15.27777778,350.5,2.96,15.9,13.7,163.2,5.43,,,,1066,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,154,10,1,36,Berlin,S7,42251,42667,42380,4.3,Balsora_1_4,,,20.1,89,,,,,,,,,2531,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,359,10,2,83,Berlin,S7,42251,42667,42380,4.3,Balsora_1_4,,,11.7,74.7,,,,,,,,,2736,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,589,10,3,136,Berlin,S7,42251,42667,42380,4.3,Balsora_1_4,,,20.5,112.2,,,,,,,,,2966,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,255,44,1,22,Berlin,S7,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.38888889,,,,,126.3,3.64,,,,256,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,255,44,1,22,Berlin,S7,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,9.666666667,257.2,2.22,15.9,14.2,129.6,4.45,,,,1312,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,172,11,1,40,BT 65/282,S8,42251,42667,42380,4.3,Balsora_1_4,,,17.7,109,,,,,,,,,2549,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,401,11,2,93,BT 65/282,S8,42251,42667,42380,4.3,Balsora_1_4,,,14,96.7,,,,,,,,,2778,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,495,11,3,114,BT 65/282,S8,42251,42667,42380,4.3,Balsora_1_4,,,11.5,110.4,,,,,,,,,2872,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,49,131,1,5,BT 65/282,S8,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.38888889,,,,,157.5,3.93,,,,50,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,49,131,1,5,BT 65/282,S8,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,9.666666667,237.7,3.11,20.3,13,165.3,6.23,,,,1106,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,177,12,1,41,CANE 8276,S163,42251,42667,42380,4.3,Balsora_1_4,,,12.5,72,,,,,,,,,2554,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,243,12,2,56,CANE 8276,S163,42251,42667,42380,4.3,Balsora_1_4,,,8.4,72.9,,,,,,,,,2620,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,501,12,3,116,CANE 8276,S163,42251,42667,42380,4.3,Balsora_1_4,,,9.4,64.2,,,,,,,,,2878,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,247,187,1,21,CANE 8276,S163,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.27777778,,,,,152.1,4.34,,,,248,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,247,187,1,21,CANE 8276,S163,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,7.222222222,261.5,2.88,14.7,14.8,161.5,6.1,,,,1304,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,210,13,1,49,CC 00-2639,S10,42251,42667,42380,4.3,Balsora_1_4,,,7.4,71,,,,,,,,,2587,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,304,13,2,70,CC 00-2639,S10,42251,42667,42380,4.3,Balsora_1_4,,,9.3,77.6,,,,,,,,,2681,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,517,13,3,119,CC 00-2639,S10,42251,42667,42380,4.3,Balsora_1_4,,,6.7,46.1,,,,,,,,,2894,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,246,49,1,21,CC 00-2639,S10,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15.05555556,,,,,139.4,3.8,,,,247,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,246,49,1,21,CC 00-2639,S10,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,9.166666667,244.9,3.05,21,12.5,128,4.45,,,,1303,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,120,14,1,28,CC 00-2924,S11,42251,42667,42380,4.3,Balsora_1_4,,,11.6,77.5,,,,,,,,,2497,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,374,14,2,86,CC 00-2924,S11,42251,42667,42380,4.3,Balsora_1_4,,,14.5,90.5,,,,,,,,,2751,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,585,14,3,135,CC 00-2924,S11,42251,42667,42380,4.3,Balsora_1_4,,,11.7,107.5,,,,,,,,,2962,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,29,144,1,3,CC 00-2924,S11,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.55555556,,,,,163.8,4.03,,,,30,4,AIBD,
